Time      ECG     TEB
3.45     493     13.8954
3.455     526     13.9006
3.46     502     13.9146
3.465     474     13.9234
3.47     504     13.9181
3.475     546     13.9146
3.48     521     13.9146
3.485     492     13.9094
3.49     525     13.9059
3.495     563     13.9094
3.5     543     13.9181
3.505     515     13.9287
3.51     541     13.9322
3.515     575     13.9146
3.52     552     13.9094
3.525     521     13.9023
3.53     548     13.9006
3.535     572     13.8971
3.54     538     13.9023
3.545     503     13.9094
3.55     518     13.9111
3.555     549     13.9164
3.56     515     13.9111
3.565     477     13.9059
3.57     495     13.9041
3.575     527     13.9059
3.58     501     13.9146
3.585     461     13.9287
3.59     488     13.9234
3.595     517     13.9181
3.6     486     13.9251
3.605     456     13.9181
3.61     483     13.9181
3.615     516     13.9129
3.62     488     13.9146
3.625     455     13.9094
3.63     480     13.9181
3.635     508     13.9199
3.64     490     13.9234
3.645     454     13.9269
3.65     479     13.9217
3.655     518     13.9129
3.66     489     13.9129
3.665     453     13.9217
3.67     480     13.9076
3.675     512     13.9076
3.68     487     13.9164
3.685     455     13.9129
3.69     478     13.9076
3.695     511     13.9041
3.7     484     13.9094
3.705     453     13.9006
3.71     479     13.9041
3.715     511     13.8954
3.72     489     13.9023
3.725     454     13.9164
3.73     481     13.9146
3.735     507     13.9199
3.74     482     13.9234
3.745     447     13.9181
3.75     473     13.9094
3.755     510     13.8936
3.76     484     13.8848
3.765     453     13.8884
3.77     479     13.8884
3.775     508     13.8848
3.78     483     13.8936
3.785     453     13.8989
3.79     478     13.9094
3.795     505     13.9076
3.8     481     13.9041
3.805     445     13.9076
3.81     475     13.9076
3.815     505     13.8989
3.82     481     13.8918
3.825     448     13.8954
3.83     481     13.8936
3.835     511     13.8901
3.84     478     13.8971
3.845     448     13.8884
3.85     473     13.8919
3.855     509     13.8919
3.86     484     13.8866
3.865     448     13.8884
3.87     473     13.8848
3.875     508     13.8848
3.88     478     13.8761
3.885     446     13.8726
3.89     472     13.8778
3.895     507     13.8813
3.9     475     13.8848
3.905     443     13.8936
3.91     471     13.9024
3.915     504     13.9059
3.92     479     13.8954
3.925     450     13.8936
3.93     482     13.8901
3.935     505     13.8936
3.94     476     13.8954
3.945     445     13.8936
3.95     473     13.8936
3.955     509     13.8971
3.96     483     13.8971
3.965     445     13.8884
3.97     479     13.8884
3.975     510     13.8866
3.98     469     13.9006
3.985     445     13.8954
3.99     472     13.9076
3.995     506     13.9076
4     480     13.9217
4.005     446     13.9164
4.01     477     13.9147
4.015     514     13.9094
4.02     482     13.9164
4.025     443     13.9059
4.03     474     13.9112
4.035     509     13.9042
4.04     481     13.9094
4.045     445     13.9007
4.05     479     13.8937
4.055     504     13.8989
4.06     478     13.8954
4.065     451     13.8989
4.07     481     13.8954
4.075     509     13.8971
4.08     472     13.9147
4.085     446     13.8989
4.09     478     13.9112
4.095     504     13.9059
4.1     485     13.8989
4.105     448     13.8866
4.11     481     13.8866
4.115     512     13.8796
4.12     481     13.8884
4.125     448     13.8831
4.13     480     13.8936
4.135     515     13.8848
4.14     488     13.8884
4.145     455     13.8866
4.15     485     13.8866
4.155     507     13.8866
